time,dev_id,sensor_name,temperature,humidity,battery,lat_long,location_picture_hyperlink
2024-09-14T01:31:43+00:00,r712-a7f9,Plaza,9.28,78.12,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T01:33:39+00:00,r712-4e85,Gum,9.66,78.92,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T02:27:23+00:00,r712-a7f8,Elm,10.01,71.3,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-14T02:33:32+00:00,r712-4e85,Gum,9.89,75.44,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T03:30:56+00:00,r712-a7f7,Bench Hub,9.75,68.36,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T04:27:23+00:00,r712-a7f8,Elm,9.75,68.33,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-14T04:33:40+00:00,r712-4e85,Gum,9.56,70.7,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T04:30:56+00:00,r712-a7f7,Bench Hub,9.56,69.76,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T05:27:24+00:00,r712-a7f8,Elm,10.0,65.47,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T01:27:29+00:00,r712-a7f8,Elm,11.72,57.33,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T01:31:49+00:00,r712-a7f9,Plaza,12.82,49.38,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-15T01:33:38+00:00,r712-4e85,Gum,12.15,58.86,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-15T03:27:29+00:00,r712-a7f8,Elm,12.11,53.16,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T03:33:38+00:00,r712-4e85,Gum,11.98,57.01,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-15T05:31:02+00:00,r712-a7f7,Bench Hub,11.87,55.57,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T16:30:59+00:00,r712-a7f7,Bench Hub,9.54,69.61,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T16:31:47+00:00,r712-a7f9,Plaza,9.64,67.43,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-15T08:27:31+00:00,r712-a7f8,Elm,11.14,57.99,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T10:27:31+00:00,r712-a7f8,Elm,10.84,60.83,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T10:31:03+00:00,r712-a7f7,Bench Hub,10.73,61.39,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T10:31:51+00:00,r712-a7f9,Plaza,10.23,62.04,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T17:33:36+00:00,r712-4e85,Gum,8.04,71.72,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T18:30:59+00:00,r712-a7f7,Bench Hub,7.87,73.05,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T19:31:47+00:00,r712-a7f9,Plaza,7.01,74.01,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T20:31:00+00:00,r712-a7f7,Bench Hub,7.62,74.21,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T20:31:48+00:00,r712-a7f9,Plaza,6.84,76.26,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T21:31:48+00:00,r712-a7f9,Plaza,7.67,76.15,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T21:33:44+00:00,r712-4e85,Gum,7.97,75.85,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T22:31:00+00:00,r712-a7f7,Bench Hub,9.49,73.03,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T22:31:48+00:00,r712-a7f9,Plaza,11.7,69.47,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T23:31:49+00:00,r712-a7f9,Plaza,12.42,60.25,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T23:33:44+00:00,r712-4e85,Gum,11.02,65.43,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-15T06:31:02+00:00,r712-a7f7,Bench Hub,11.52,57.77,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T06:31:50+00:00,r712-a7f9,Plaza,11.97,56.59,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-15T11:31:04+00:00,r712-a7f7,Bench Hub,10.44,63.0,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T11:31:52+00:00,r712-a7f9,Plaza,10.15,62.38,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-15T11:33:47+00:00,r712-4e85,Gum,10.38,63.14,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-15T12:31:04+00:00,r712-a7f7,Bench Hub,10.3,61.64,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T12:31:52+00:00,r712-a7f9,Plaza,9.7,63.19,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-15T12:27:31+00:00,r712-a7f8,Elm,10.35,60.79,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T14:31:04+00:00,r712-a7f7,Bench Hub,8.68,65.97,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T14:27:32+00:00,r712-a7f8,Elm,8.61,65.77,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T16:31:34+00:00,r712-a7f9,Plaza,10.82,77.36,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T16:27:15+00:00,r712-a7f8,Elm,11.0,76.15,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T20:31:35+00:00,r712-a7f9,Plaza,10.79,79.85,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T20:33:39+00:00,r712-4e85,Gum,11.06,79.97,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-12T15:27:14+00:00,r712-a7f8,Elm,11.17,74.45,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T15:30:47+00:00,r712-a7f7,Bench Hub,11.12,75.02,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-12T12:27:14+00:00,r712-a7f8,Elm,12.31,75.03,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T12:30:46+00:00,r712-a7f7,Bench Hub,12.29,74.78,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-12T12:31:34+00:00,r712-a7f9,Plaza,12.01,75.64,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T13:27:14+00:00,r712-a7f8,Elm,11.79,71.49,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T13:33:37+00:00,r712-4e85,Gum,11.71,72.08,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T08:33:35+00:00,r712-4e85,Gum,14.08,62.09,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T09:27:19+00:00,r712-a7f8,Elm,13.93,62.02,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T09:33:28+00:00,r712-4e85,Gum,13.86,62.73,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T11:30:59+00:00,r712-a7f7,Bench Hub,12.89,65.44,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T12:27:19+00:00,r712-a7f8,Elm,12.17,68.19,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T13:27:20+00:00,r712-a7f8,Elm,11.56,69.73,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T21:27:16+00:00,r712-a7f8,Elm,11.63,78.81,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T22:31:36+00:00,r712-a7f9,Plaza,12.66,75.57,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T22:33:32+00:00,r712-4e85,Gum,12.44,77.05,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T00:27:16+00:00,r712-a7f8,Elm,13.42,72.59,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T06:30:50+00:00,r712-a7f7,Bench Hub,15.24,64.74,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T06:33:27+00:00,r712-4e85,Gum,15.06,64.74,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T07:30:51+00:00,r712-a7f7,Bench Hub,14.56,63.47,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T01:30:56+00:00,r712-a7f7,Bench Hub,14.35,70.86,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T01:31:37+00:00,r712-a7f9,Plaza,15.01,70.35,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-13T01:33:33+00:00,r712-4e85,Gum,14.29,71.34,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T03:27:17+00:00,r712-a7f8,Elm,15.02,70.68,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T04:33:27+00:00,r712-4e85,Gum,15.51,68.67,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T05:33:34+00:00,r712-4e85,Gum,15.34,65.18,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T13:31:40+00:00,r712-a7f9,Plaza,11.27,70.69,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-13T14:31:40+00:00,r712-a7f9,Plaza,11.13,70.04,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-13T15:30:53+00:00,r712-a7f7,Bench Hub,11.35,70.24,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T15:33:29+00:00,r712-4e85,Gum,11.23,70.69,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T15:31:40+00:00,r712-a7f9,Plaza,11.08,70.42,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
